itemID,item Name,Supplier ID,Current Stock Level,Reorder Level,Cost perunit,Selling Price Unit,Last Updated Date
IT001,tag,SP001,30,23,23.0,23.0,2024-12-18
IT002,tag,SP001,25,23,23.0,23.0,2024-12-18
IT003,tag,SP001,20,23,23.0,23.0,2024-12-18
IT004,car,SP001,<html><font color='red'>21</font></html>,23,23.0,23.0,2024-12-18
IT005,tag,SP001,24,23,23.0,23.0,2024-12-18
IT006,tag,SP001,20,23,23.0,23.0,2024-12-18
IT007,tag,SP001,27,23,23.0,23.0,2024-12-18
IT008,tag,SP001,50,23,23.0,23.0,2024-12-18
IT009,tag,SP001,20,23,23.0,23.0,2024-12-18
IT010,tag,SP001,35,23,23.0,23.0,2024-12-18
IT011,tag,SP001,35,23,23.0,23.0,2024-12-18
IT012,tag,SP001,60,23,23.0,23.0,2024-12-18
IT013,tag,SP001,50,23,23.0,23.0,2024-12-18
IT014,blue,SP001,60,23,23.0,23.0,2024-12-19
